Puzzle,Solution,
...5.8...51..37..8..7..1..9..9......87........2....1...3..1.98..5.2.47..29..7.41.,943568271512937648687421359469152837871349526325786194734615982158294763296873415,
..5.48....897....4.1.6.9.5.....9.1...2...54....7..6..2.....75.........18......9.7,265348791389751624714629853648293175123875469957416382492187536576934218831562947,
.....7...2..51.8.987..2.51.....4....1...5..4...69..1.8..217........964.....2.4...,915867234264513879873429516358741962129658347746932158492175683587396421631284795,
.2.6...5.1...9...35.683...9.1.............8...9..6......8.2.4..9...4.....623..1.5,329614758187592643546837219615278934274953861893461527738125496951746382462389175,
.38.....6..4...23.27.....1.1...267.......79...8619....96..8..4.4....28...........,538219476614578239279463518195326784342857961786194325963785142451632897827941653,
.........49......78613...9..7......45..........9.4.5.6..84....5..675.3...1...69..,257984613493621857861375492672593184584167239139842576328419765946758321715236948,
.....7.......1..........76.98....52..71.6...3..6..89..5...368916...812....32.....,438697152765812349129354768984173526271965483356428917542736891697581234813249675,
5938..6....2.1.3.5.6..7....7..1..28...5..81.3...2....9.89.......56..........6....,593824617872916345461573892734195286925648173618237459389452761256781934147369528,
4.9......635.8..9.........7.4..9.........78..86.....41......7.575.....8..9...431.,479156238635782194182439567543891672921647853867325941314968725756213489298574316,
..4......7.2...36..86.5..2..4.....8.2....61..5....87.....8..41..7..3...6.3..6.5..,914623857752981364386457921147395682298746135563218749625879413871534296439162578,
